a	Priority_1	Priority_2	Priority_3
0.15	0.307895	0.799123	0.746491
0.25	0.522727	0.886364	0.795455
0.35	0.746226	0.972642	0.840566
0.45	0.979412	1.05784	0.881373
0.55	1.22347	1.14184	0.917347
0.65	1.47979	1.22447	0.947872
0.75	1.75	1.30556	0.972222
0.85	2.03605	1.38488	0.989535
0.95	2.34024	1.4622	0.99878
